test_type,idx,chinese_input,chinese_original,expected_gloss,predicted_gloss,exact_match,precision,recall,f1,ger,edit_distance,error_type,oov_tokens,transform,needs_semantic_mapping,source,seconds
unseen,11,姊姊看見蟑螂覺得很可怕,,蟑螂 姊姊 見 可怕,姊姊 看到 蟑螂 噁心,0,0.5,0.5,0.5,1.0,4,Gloss替換錯誤,,,,test_papers,4.88
unseen,12,她的朋友越來越少,,她 朋友 越來越少,她 朋友 越來越少,1,1.0,1.0,1.0,0.0,0,正確,,,,test_papers,4.45
unseen,13,我討厭蟑螂,,蟑螂 我 討厭,蟑螂 我 討厭,1,1.0,1.0,1.0,0.0,0,正確,,,,test_papers,4.6
unseen,14,太貴了,,很 貴,貴,0,1.0,0.5,0.6667,0.5,1,漏Gloss,,,,test,4.06
unseen,15,他心地善良，樂於助人,,他 心 好 別人 幫 喜歡,他 心 善良 他 幫++ 樂意,0,0.3333,0.3333,0.3333,0.6667,4,OOV/未知Gloss,樂意,,,test_papers,4.82
unseen,16,了解這個工作的薪水大概是多少錢,,這 工作 月薪 大概 多少錢 了解,工作 薪水 大概 多少錢,0,0.75,0.5,0.6,0.5,3,漏Gloss,,,,test_corpus,5.19
unseen,17,請慢一點,,請 慢 一點,你 慢,0,0.5,0.3333,0.4,0.6667,2,Gloss替換錯誤,,,,test,4.14
unseen,18,請再說一次,,請 再 說 一次,請 再 說 一次,1,1.0,1.0,1.0,0.0,0,正確,,,,test,4.44
unseen,19,我不要,,我 不要,我 不要,1,1.0,1.0,1.0,0.0,0,正確,,,,test,4.8
unseen,20,那裡東西多到讓我目不轉睛,,好奇 那裡 東西 多 我 目不轉睛,那 東西 多 什麼 我 目不轉睛,0,0.6667,0.6667,0.6667,0.5,3,OOV/未知Gloss,目不轉睛,,,test_corpus,5.46
unseen,21,我在這所學校度過十二年沒換過學校,,深 學校 我 讀書 從小到大 十二年 換 從來沒有,我 學校 十二年 學校 換 從來沒有,0,0.8333,0.625,0.7143,0.625,5,OOV/未知Gloss,十二年,,,test_corpus,5.8
unseen,22,我平日吃飽飯後散步運動,,我 平常 週一至週五 簡單 吃飯 完 走 運動,我 平常 吃飯 完 散步 運動,0,0.8333,0.625,0.7143,0.375,3,漏Gloss,,,,test_corpus,4.96
unseen,23,爸爸媽媽我們一起協助整理環境，恢復原本的樣子,,我 爸爸 媽媽 我們 一起 幫 打掃 環境 恢復 乾淨,爸爸 媽媽 我們 一起 幫忙 整理++ 原本 恢復,0,0.625,0.5,0.5556,0.5,5,OOV/未知Gloss,整理++,,,test_papers,5.12
unseen,24,參加比賽的人逐漸增加,,參加 比賽 人 越來越多,比賽 參加 人 越來越多,0,1.0,1.0,1.0,0.5,2,語序錯誤,,,,test_papers,4.53
unseen,25,他邀請爸爸去吃飯,,他 邀請 爸爸 去 吃飯,他 爸爸 叫 飯 吃,0,0.4,0.4,0.4,0.8,4,Gloss替換錯誤,,,,test_papers,4.53
unseen,26,下次帶他來跟我們一起喝咖啡,,下次 帶來 我們 一起 咖啡 喝,下次 帶 他 我們 一起 咖啡 喝,0,0.7143,0.8333,0.7692,0.3333,2,Gloss替換錯誤,,,,test_corpus,4.75
unseen,27,來賓：這很容易做，你可以學得起來,,來賓:這些 簡單 你 學 可以,來賓 這 簡單 你 學++ 能,0,0.3333,0.4,0.3636,0.8,4,OOV/未知Gloss,來賓,,,test_papers,4.75
unseen,28,那個男生長的很好看,,那 男生 美,那 男 那 臉 認 棒,0,0.1667,0.3333,0.2222,1.6667,5,OOV/未知Gloss,認,,,test_papers,4.6
unseen,29,學校裡的男生占多數,,學校 男 大,學校 男生 佔多數,0,0.3333,0.3333,0.3333,0.6667,2,OOV/未知Gloss,佔多數,,,test_papers,4.59
unseen,30,如果老闆問我希望一個月領多少錢,,如果 老闆 問 希望 月薪 多少錢,如果 老闆 問 我 希望 一個月 多少錢,0,0.7143,0.8333,0.7692,0.3333,2,Gloss替換錯誤,,,,test_corpus,5.34
unseen,31,老闆數錢數到笑哈哈,,買 老闆 錢 數錢 笑 開心,老闆 數錢 數到 笑,0,0.75,0.5,0.6,0.6667,4,OOV/未知Gloss,數錢 數到,,,test_corpus,4.52
unseen,32,我家附近的眼科醫生專業又棒,,我 家 附近 眼科 醫生 專業 棒,我 家 附近 眼科 醫生 專業 棒,1,1.0,1.0,1.0,0.0,0,正確,,,,test_corpus,4.83
unseen,33,他問朋友,,朋友 他 問,他 問 朋友,0,1.0,1.0,1.0,0.6667,2,語序錯誤,,,,test_papers,4.21
unseen,34,下次再去日月潭玩就好了,,下次 再 去 日月潭 玩 可以,下次 日月潭 去 玩 棒,0,0.8,0.6667,0.7273,0.5,3,Gloss替換錯誤,,,,test_corpus,4.6
unseen,35,你住在宜蘭嗎,,你 宜蘭 住,你 宜蘭 住,1,1.0,1.0,1.0,0.0,0,正確,,,,test,6.01
unseen,36,我們約明天去奇美博物館?觀,,我們兩人 約 明天 去 奇美博物館 參觀++,我們兩個 約 明天 去 奇美博物館,0,0.8,0.6667,0.7273,0.3333,2,Gloss替換錯誤,,,,test_corpus,5.77
unseen,37,這顆西瓜好大,,這 西瓜 大,西瓜 這 大,0,1.0,1.0,1.0,0.6667,2,語序錯誤,,,,test_papers,4.3
unseen,38,不過我現在會設手錶鬧鐘提醒自己扭動一下脖子,,現在 手錶 時間 設定 震動 告訴 自己 扭動脖子,我 現在 手錶 鬧鐘 醒 告訴 我 脖子 扭動,0,0.3333,0.375,0.3529,0.875,7,OOV/未知Gloss,鬧鐘 脖子 扭動,,,test_corpus,6.05
unseen,39,你怎麼吃得這麼少,,你 吃 少,你 吃飯 少 怎麼,0,0.5,0.6667,0.5714,0.6667,2,Gloss替換錯誤,,,,test_papers,4.8
unseen,40,這樣肉燉久就會變軟變得很好吃,,豬肉 煮 久 軟 吃 棒,肉 燉 久 軟 爛 吃 棒,0,0.5714,0.6667,0.6154,0.5,3,OOV/未知Gloss,燉 軟,,,test_corpus,4.73
unseen,41,這個寶寶長的白白胖胖好可愛,,這 孩子 白 胖 可愛,這 寶寶 長 胖 胖 胖 可愛,0,0.4286,0.6,0.5,0.8,4,OOV/未知Gloss,寶寶,,,test_papers,4.75
unseen,42,有，我先去照了X光,,有 我 首先 去 肩膀 照X光+肩膀,有 我 去 照X光,0,0.75,0.5,0.6,0.5,3,漏Gloss,,,,test_corpus,4.59
unseen,43,哥哥打字的速度很快,,哥哥 打字 快,哥哥 打字 快,1,1.0,1.0,1.0,0.0,0,正確,,,,test_papers,4.21
unseen,44,趕快去洗澡,,快 去 洗澡,去 洗澡 趕快,0,0.6667,0.6667,0.6667,0.6667,2,多餘Gloss,,,,test_papers,4.5
unseen,45,聾人和聽障者會好奇地想知道台上的聽人在說些什麼,,電視 聽人 上台 演講 聾人 重聽者 好奇 想 知道 他們 演講 什麼,聾人 聽人 聽人 演講 什麼 他們 聾人 好奇 想 知道,0,0.8,0.6667,0.7273,0.6667,8,Gloss替換錯誤,,,,test_corpus,6.27
unseen,46,我要這個,,我 這 要,這 我 要,0,1.0,1.0,1.0,0.6667,2,語序錯誤,,,,test,4.17
unseen,47,他們吃了以後覺得我做的握壽司很好吃,,他們 吃 完 告訴 我 做 壽司 好吃 棒,他們 吃 握壽司 覺得 好吃,0,0.6,0.3333,0.4286,0.6667,6,OOV/未知Gloss,握壽司,,,test_corpus,4.7
unseen,48,台北?聰學校開設夜間成人教育班,,台北啟聰學校 辦理 晚上 成人 教育 班,台北 聰學校 設立 夜間 成人 教育 班,0,0.4286,0.5,0.4615,0.6667,4,OOV/未知Gloss,聰學校 夜間,,,test_corpus,4.91
unseen,49,這顆蘋果不大,,這 蘋果 大 沒有,這 蘋果 大 不,0,0.75,0.75,0.75,0.25,1,Gloss替換錯誤,,,,test_papers,5.01
unseen,50,可以改用手機傳訊或手語視訊這兩種方式聯絡,,改 手機 手機+輸入 連絡 視訊 打手語 聊天 這兩個 能,改 手機 打字 或 手語 視訊 這兩個 聯絡 可以,0,0.4444,0.4444,0.4444,0.7778,7,Gloss替換錯誤,,,,test_corpus,5.34
unseen,51,不可以,,不可以,不可以,1,1.0,1.0,1.0,0.0,0,正確,,,,test,4.7
unseen,52,有時媽媽會做三明治、稀飯和吐司披薩,,媽媽 三明治 稀飯 吐司披薩 煮 偶而,有時候 媽媽 煮 三明治 稀飯 吐司披薩,0,0.8333,0.8333,0.8333,0.6667,4,多餘Gloss,,,,test_corpus,5.55
unseen,53,看到學生的進步和他們對手語有興趣,,看到 學生 進步 他們 針對 手語 興趣,看到 學生 進步 再 他們 手語 喜歡,0,0.7143,0.7143,0.7143,0.4286,3,Gloss替換錯誤,,,,test_corpus,4.87
unseen,54,剛開始我不知如何和老師溝通，老師耐心教我穩住心神，用舊報紙練習運筆,,一開始 老師 第一次 見 溝通 沒辦法 他 耐心 教 心 ?定 舊 報紙 拿來 運筆 練習,開始 老師 溝通 如何 我 不知道 老師 耐心 教 幫我 心 安定 再 舊 報紙 練習,0,0.5,0.5,0.5,0.6875,11,OOV/未知Gloss,安定,,,test_corpus,6.63
unseen,55,電視裡解說員會針對比賽過程及選手表現進行討論,,電視 解說員 講述 針對 比賽 過程 參賽者 表現 情形 好不好 討論 會,電視 解說員 針對 比賽 過程 選手 表現 討論,0,0.875,0.5833,0.7,0.4167,5,OOV/未知Gloss,解說員 選手,,,test_corpus,5.15
unseen,56,你住哪裡,,你 住 哪裡,你 住 哪裡,1,1.0,1.0,1.0,0.0,0,正確,,,,test,5.6
unseen,57,老師怕他,,他 老師 怕,老師 他 老師 怕,0,0.75,1.0,0.8571,0.3333,1,多餘Gloss,,,,test_papers,4.41
unseen,58,希望以後火災警報器可以設計手機APP連接手錶,,希望 以後 火災警報器 APP 手錶 連接 設計 有,希望 以後 火災 警報器 手機 APP 連接 手錶 設計,0,0.6667,0.75,0.7059,0.75,6,Gloss替換錯誤,,,,test_corpus,5.25
unseen,59,我印象最深刻的有兩件事情,,我 印象 很 什麼 有 二 事情,我 印象 深刻 有 二,0,0.8,0.5714,0.6667,0.4286,3,漏Gloss,,,,test_corpus,4.48
unseen,60,你游泳的速度好快,,你 游泳 快,你 游泳 快速,0,0.6667,0.6667,0.6667,0.3333,1,Gloss替換錯誤,,,,test_papers,4.32
unseen,61,有時候會找我練習手語對話,,偶爾 來 找 我 手語 對話 練習,偶爾 找來 我 手語 對話 練習,0,0.8333,0.7143,0.7692,0.2857,2,Gloss替換錯誤,,,,test_corpus,4.92
unseen,62,我要看醫生,,我 看醫生 要,我 去 醫生 診所 醫生 診察 要,0,0.2857,0.6667,0.4,1.6667,5,OOV/未知Gloss,診所,,,test,5.01
unseen,63,老師看著學生,,老師 學生 見 學生 之於 看,老師 老師 學生 老師 觀看,0,0.4,0.3333,0.3636,0.6667,4,Gloss替換錯誤,,,,test_papers,4.78
unseen,64,只知道紅燈上課綠燈下課很有趣,,知道 什麼 見 紅燈 綠燈 有趣,知道 紅燈 綠燈 顏色 變 讀書 玩,0,0.4286,0.5,0.4615,1.0,6,Gloss替換錯誤,,,,test_corpus,5.11
unseen,65,幸好他兒子有叫他快點逃生,,幸好 他 兒子 告訴 逃 快,幸好 他 兒子 叫 他 快 逃,0,0.7143,0.8333,0.7692,0.5,3,Gloss替換錯誤,,,,test_corpus,4.85
unseen,66,他的心胸好寬大,,他 大,他 心寬大,0,0.5,0.5,0.5,0.5,1,OOV/未知Gloss,心寬大,,,test_papers,4.39
unseen,67,你胖到都快要走不動了,,你 胖 走 不能,你 胖 走 不成,0,0.75,0.75,0.75,0.25,1,Gloss替換錯誤,,,,test_papers,5.13
unseen,68,我五歲時因發燒聽力受損,,我 聽不見 孩子 五歲 頭 發燒 聽損,我 五歲 發燒 聽損,0,1.0,0.5714,0.7273,0.4286,3,OOV/未知Gloss,五歲,,,test_corpus,4.62
unseen,69,這個題目的說明好複雜，我看了好久,,這 題目 解釋 複雜 見 *欣賞 久,這 題目 這 閱讀 複雜,0,0.6,0.4286,0.5,0.7143,5,Gloss替換錯誤,,,,test_papers,4.52
unseen,70,我去了不同的地方玩,,我 去 玩,我 去 玩 地方 不一樣,0,0.6,1.0,0.75,0.6667,2,多餘Gloss,,,,test_papers,5.22
unseen,71,我小時候每天早上起床,,我 小時候 每天 早上 醒 起床,我 小時候 每天 早上 起床,0,1.0,0.8333,0.9091,0.1667,1,漏Gloss,,,,test_corpus,5.0
unseen,72,而且電視畫面下方出現即時字幕,,再 電視 電視+字幕 馬上 聽打 字幕 有,再 電視 電視+畫面字幕出現,0,0.6667,0.2857,0.4,0.7143,5,OOV/未知Gloss,電視+畫面字幕出現,,,test_corpus,4.91
unseen,73,聽說它看起來很像歐洲的宮殿,,聽說 那 環視 歐洲 古廟 像,聽說 歐洲 宮殿 像,0,0.75,0.5,0.6,0.5,3,漏Gloss,,,,test_corpus,4.67
unseen,74,譬如颱風警報或總統宣布重要政策的記者會等等,,比如 颱風警報 或 總統 宣布 重要 政府 計畫 記者會 種種,像 颱風 警報 總統 宣布 演講 種類,0,0.2857,0.2,0.2353,0.8,8,OOV/未知Gloss,警報,,,test_corpus,5.22
unseen,75,學到後回家自己做日式壽司給家人試試看好不好吃,,學會 回家 自己 做 壽司 給 家人 吃 試試 好不好,學++ 完 回家 自己 壽司 煮 吃 家人 給 吃 試試 好不好吃,0,0.5833,0.7,0.6364,0.7,7,OOV/未知Gloss,壽司 好不好吃,,,test_corpus,6.65
unseen,76,老師告訴我們小朋友們要認真坐好,,老師 告訴 孩子 招 坐 認真,老師 告訴 小孩 認真 坐,0,0.8,0.6667,0.7273,0.5,3,Gloss替換錯誤,,,,test_corpus,4.74
unseen,77,那你知道春天出產什麼水果嗎,,春天 水果 種 什麼 你 知道?,那 春天 水果 知道,0,0.5,0.3333,0.4,0.8333,5,漏Gloss,,,,test_corpus,4.97
unseen,78,現在幾點,,現在 幾點,現在 幾點,1,1.0,1.0,1.0,0.0,0,正確,,,,test,4.57
unseen,79,有動物、兵器、樂器、西洋藝術四大類,,第一 動物 第二 兵器 第三 樂器 第四 外國 藝術 這四個,動物 兵器 樂器 西洋藝術 這四個 種類,0,0.6667,0.4,0.5,0.7,7,OOV/未知Gloss,兵器 樂器 西洋藝術,,,test_corpus,5.1
unseen,80,大家都要出發了，你還慢吞吞的做什麼,,大家 走 要 你 慢 什麼,大家 準備 去 你 慢 什麼,0,0.6667,0.6667,0.6667,0.3333,2,Gloss替換錯誤,,,,test_papers,5.1
unseen,81,那場車禍真令人感到怵目驚心,,那 車禍 我 見 可怕,那 車禍 驚嚇,0,0.6667,0.4,0.5,0.6,3,漏Gloss,,,,test_papers,4.52
unseen,82,他怕老師,,老師 他 怕,老師 他 老師 他 怕,0,0.6,1.0,0.75,0.6667,2,多餘Gloss,,,,test_papers,4.51
unseen,83,我們這邊的社區大學有教手語,,我們 這裡 社區大學 手語 教 有,我們 社區 大學 手語 教 有,0,0.6667,0.6667,0.6667,0.3333,2,OOV/未知Gloss,社區,,,test_corpus,4.66
unseen,84,他說，我聽不見聲音，反而沒有外界干擾,,他 告訴 我 聽不見 外面 介入 不會,他 告訴 聽不見 障礙 沒有 外部 干擾 沒有,0,0.375,0.4286,0.4,0.8571,6,OOV/未知Gloss,外部,,,test_corpus,5.96
unseen,85,吃完早餐、刷完牙、整理好書包,,早餐 吃 完 刷牙 書包 整理 完,早餐 吃 完 刷牙 完 書包 整理,0,1.0,1.0,1.0,0.2857,2,語序錯誤,,,,test_corpus,4.96
unseen,86,像是鴨子、鵝子、鹿、馬、羊和兔子等等,,像 鴨 鵝 鹿 馬 羊 兔子 種種,像 鴨子 鵝 鹿 馬 羊 兔子 種類 多,0,0.6667,0.75,0.7059,0.375,3,Gloss替換錯誤,,,,test_corpus,5.21
unseen,87,他已經看完了,,她 看 完,他 完,0,0.5,0.3333,0.4,0.6667,2,Gloss替換錯誤,,,,test_papers,4.2
unseen,88,老師學生望著彼此,,老師 學生 見 學生 他們兩個 看,老師 學生 老師 學生 相視,0,0.6,0.5,0.5455,0.5,3,Gloss替換錯誤,,,,test_papers,4.75
unseen,89,越來越多人喜歡張小姐,,人 張小姐 見 喜歡 越來越多,張 小姐 他們 越來越多 喜歡,0,0.4,0.4,0.4,1.0,5,OOV/未知Gloss,小姐,,,test_papers,4.72
unseen,90,我一天內連去到了三家醫院,,我 一天內 醫院 去 三,我 一整天 去 醫院 三 處,0,0.6667,0.8,0.7273,0.8,4,Gloss替換錯誤,,,,test_papers,4.9
unseen,91,這讓我更有信心投入教學工作,,這 我 投入 教學 工作 信心 有,我 信心 增加,0,0.6667,0.2857,0.4,0.7143,5,漏Gloss,,,,test_corpus,4.36
unseen,92,爸爸工作一整天都累癱了,,爸爸 工作 一整天 累,爸爸 工作 一整天 累,1,1.0,1.0,1.0,0.0,0,正確,,,,test_papers,4.65
unseen,93,希望能加入手語翻譯或聽打,,希望 加 手語翻譯 或 聽打 能,手語翻譯 聽打 要,0,0.6667,0.3333,0.4444,0.6667,4,漏Gloss,,,,test_corpus,4.77
unseen,94,聾人和重聽者有知的權利,,聾人 聽障 接收訊息 知道 有 權利,聾人 重聽者 他們兩個 知道 權利 有,0,0.6667,0.6667,0.6667,0.6667,4,OOV/未知Gloss,重聽者 權利,,,test_corpus,5.19
unseen,95,哥哥的糖果比我的多,,哥哥 糖果 多 我 少,我 哥哥 糖果 我 哥哥 糖果 多,0,0.5714,0.8,0.6667,1.0,5,Gloss替換錯誤,,,,test_papers,4.99
unseen,96,就學期間，對我一輩子影響最大的是書畫練習,,讀書 期間 我 一輩子 影響 改變 大 什麼 書畫 練習 是,讀書 期間 對 我 一輩子 影響 大 什麼 書畫 練習,0,0.9,0.8182,0.8571,0.2727,3,OOV/未知Gloss,書畫,,,test_corpus,5.95
unseen,97,老闆會不會問你希望一個月薪水是多少,,你 希望 月薪 多少錢 老闆 問 會不會,老闆 問 你 希望 月薪 多少錢,0,1.0,0.8571,0.9231,0.7143,5,漏Gloss,,,,test_corpus,5.38
unseen,98,你好,,你 好,你 你 好,0,0.6667,1.0,0.8,0.5,1,多餘Gloss,,,,test,4.25
unseen,99,建議你在家裡要安裝有閃光功能的火災警報器,,建議 告訴 你 家 火災 閃光燈+天花板 安裝 要,建議 你 家 火災 警報器 閃光+警報器 要,0,0.7143,0.625,0.6667,0.375,3,OOV/未知Gloss,閃光+警報器,,,test_corpus,5.73
unseen,100,他怕老師,,老師 他 怕,老師 他 老師 他 怕,0,0.6,1.0,0.75,0.6667,2,多餘Gloss,,,,test_papers,4.53
